symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1203.TW,https://tw.tradingview.com/symbols/TWSE-1203/,突破上軌,40.10,40.11,53.64,,False,突破上軌,40.10,40.28,56.49,,False
1315.TW,https://tw.tradingview.com/symbols/TWSE-1315/,突破上軌,64.90,65.07,66.90,,False,突破上軌,64.90,65.36,76.94,,False
1432.TW,https://tw.tradingview.com/symbols/TWSE-1432/,突破上軌,19.15,19.13,25.00,,False,突破上軌,19.15,19.26,25.00,,False
1434.TW,https://tw.tradingview.com/symbols/TWSE-1434/,突破上軌,17.60,17.59,22.41,,False,突破上軌,17.60,17.43,28.36,,False
1535.TW,https://tw.tradingview.com/symbols/TWSE-1535/,跌破下軌,46.90,47.11,,46.30,False,跌破下軌,46.90,48.23,,27.04,False
1708.TW,https://tw.tradingview.com/symbols/TWSE-1708/,突破上軌,35.15,35.00,42.17,,False,突破上軌,35.15,34.91,58.47,,False
2010.TW,https://tw.tradingview.com/symbols/TWSE-2010/,突破上軌,22.50,22.46,22.60,,False,突破上軌,22.50,22.60,29.90,,False
2345.TW,https://tw.tradingview.com/symbols/TWSE-2345/,突破上軌,1450.00,1391.56,1320.00,,True,突破上軌,1450.00,1454.76,1320.00,,True
2436.TW,https://tw.tradingview.com/symbols/TWSE-2436/,突破上軌,59.40,57.90,67.93,,False,突破上軌,59.40,57.80,101.79,,False
2460.TW,https://tw.tradingview.com/symbols/TWSE-2460/,突破上軌,26.35,26.15,42.45,,False,突破上軌,26.35,25.46,43.73,,False
2486.TW,https://tw.tradingview.com/symbols/TWSE-2486/,突破上軌,152.00,152.79,150.55,,True,突破上軌,152.00,146.63,150.55,,True
2489.TW,https://tw.tradingview.com/symbols/TWSE-2489/,突破上軌,27.10,27.17,27.29,,False,突破上軌,27.10,24.83,27.29,,False
2883.TW,https://tw.tradingview.com/symbols/TWSE-2883/,突破上軌,19.25,19.07,18.60,,True,突破上軌,19.25,19.34,18.40,,True
2897.TW,https://tw.tradingview.com/symbols/TWSE-2897/,突破上軌,9.70,9.57,10.12,,False,突破上軌,9.70,9.62,10.12,,False
3028.TW,https://tw.tradingview.com/symbols/TWSE-3028/,突破上軌,47.95,47.85,55.60,,False,突破上軌,47.95,48.39,46.00,,True
3036.TW,https://tw.tradingview.com/symbols/TWSE-3036/,突破上軌,175.00,170.99,170.98,,True,突破上軌,175.00,173.42,175.68,,False
3209.TW,https://tw.tradingview.com/symbols/TWSE-3209/,突破上軌,37.40,37.07,40.94,,False,突破上軌,37.40,37.50,40.94,,False
6202.TW,https://tw.tradingview.com/symbols/TWSE-6202/,突破上軌,56.50,54.79,64.40,,False,突破上軌,56.50,54.39,122.66,,False
6426.TW,https://tw.tradingview.com/symbols/TWSE-6426/,突破上軌,154.50,148.15,133.00,,True,突破上軌,154.50,145.53,122.50,,True
6655.TW,https://tw.tradingview.com/symbols/TWSE-6655/,突破上軌,128.50,126.56,143.20,,False,突破上軌,128.50,129.39,148.29,,False
6861.TW,https://tw.tradingview.com/symbols/TWSE-6861/,突破上軌,78.40,78.04,88.88,,False,突破上軌,78.40,76.03,190.89,,False
9942.TW,https://tw.tradingview.com/symbols/TWSE-9942/,突破上軌,118.00,118.17,125.64,,False,突破上軌,118.00,117.55,139.28,,False
2230.TWO,https://tw.tradingview.com/symbols/TPEX-2230/,跌破下軌,55.80,61.89,,73.28,True,跌破下軌,55.80,65.31,,9.52,False
